meal_type,name,calories,protein,fat,carbs,cost,ingredients,recipe
breakfast,Oats with Almond Milk 1,300,12,5,50,2.5,Oats;Almond milk;Honey,1. Boil almond milk. 2. Add oats. 3. Cook 5 min. 4. Add honey. 5. Serve hot.
breakfast,Oats with Almond Milk 2,300,12,5,50,2.5,Oats;Almond milk;Honey,1. Boil almond milk. 2. Add oats. 3. Cook 5 min. 4. Add honey. 5. Serve hot.
breakfast,Chia Pudding 1,250,8,10,35,3,Chia seeds;Almond milk;Honey;Berries,1. Mix chia seeds with almond milk. 2. Refrigerate 4 hrs. 3. Add honey & berries. 4. Serve.
breakfast,Chia Pudding 2,250,8,10,35,3,Chia seeds;Almond milk;Honey;Berries,1. Mix chia seeds with almond milk. 2. Refrigerate 4 hrs. 3. Add honey & berries. 4. Serve.
breakfast,Vegetable Omelette 1,300,20,15,10,3,Eggs;Spinach;Tomato;Bell pepper,1. Beat eggs. 2. Add chopped vegetables. 3. Cook on skillet. 4. Serve hot.
breakfast,Vegetable Omelette 2,300,20,15,10,3,Eggs;Spinach;Tomato;Bell pepper,1. Beat eggs. 2. Add chopped vegetables. 3. Cook on skillet. 4. Serve hot.
breakfast,Banana Pancakes 1,350,8,12,70,4,Flour;Egg;Banana;Milk;Honey,1. Mix ingredients. 2. Cook pancakes. 3. Serve with honey or syrup.
breakfast,Banana Pancakes 2,350,8,12,70,4,Flour;Egg;Banana;Milk;Honey,1. Mix ingredients. 2. Cook pancakes. 3. Serve with honey or syrup.
breakfast,Smoothie Bowl 1,350,10,5,60,4,Banana;Strawberry;Yogurt;Granola,"1. Blend banana, strawberry & yogurt. 2. Pour in bowl. 3. Top with granola. 4. Serve chilled."
breakfast,Smoothie Bowl 2,350,10,5,60,4,Banana;Strawberry;Yogurt;Granola,"1. Blend banana, strawberry & yogurt. 2. Pour in bowl. 3. Top with granola. 4. Serve chilled."
breakfast,Tofu Scramble 1,280,18,12,10,3,Tofu;Tomato;Spinach;Spices,"1. Crumble tofu. 2. Sauté with tomato, spinach & spices. 3. Cook 5-7 min. 4. Serve hot."
